00:23:eb:0b:e9:a0, 6, sMobileNet, -61, 0, -62, -62, -62, -62, -62, -62, -62, -62, -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, -61, -61, -61, -61, -61, -61, -61, -61, -61, -61, 0, 0, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, 0, 0, -65, -65, -65, -65, -65, -65, -65, -65, -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, -65, -65, -65, -65, -65, -65, -65, -65, -65, 0, 0, 0, -63, -63, -63, -63, -63, -63, -63, -63, -63, 0, -64, -64, -65, -65, -64, -64, -64, -64, -64, -64, -64, -64, -64, 0, 0, 0, 0, 0, 0, 0, 0, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -62, -63, -63, -63, -63, -63, -63, -63, -63, -63, 0, 0, 0, 0, 0, 0, 0, -63, -63, -63, -63, -62, -62, -62, -62, -62, -62, -62, -62, -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -61, -61, -62, -62, -62, -62, -62, -62, -62, -62, -62, -63, -63, -62, -62, -62, -62, -62, -63, -63, -63, -63, -63, -63, -63, -63, -63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -64, -64, -64, -64, -64, -64, -64, -64, -64, 0, 0, 0, 0, 0, 0, 0, -64, -64, -64, -64, -64, -64, -64, -64, -64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
00:25:84:22:fc:80, 11, Universitie, -80, 0, 0, 0, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, -81, -81, -81, -81, -81, -80, -80, -80, -80, -80, -81, -81, -82, -82, -83, -83, -83, -81, -81, -81, -81, -81, -79, -79, -79, -79, -79, -79, -79, -83, -83, -83, -83, -81, -81, -81, -81, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, -82, -82, -80, -80, -80, -80, -80, -81, -81, -81, -81, -81, -81, -81, -79, -79, -79, -79, -79, -79, -79, -80, -80, -80, -80, -80, -80, -80, -80, -79, -79, -79, -81, -81, -81, -81, -81, -80, -80, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -81, -81, -81, -81, -82, -81, -81, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, -83, -83, -83, -83, -83, -81, -81, -81, -81, -81, -81, -81, -81, -81, -79, -79, -83, -83, -78, -78, -78, -79, -79, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -78, -79, -78, -80, -80, -80, -80, -79, -81, -81, -80, -81, -81, -80, -80, -81, -81, -80, -80, -80, -82, -82, -82, -80, -81, -81, -80, -81, -81, -82, -82, -75, -80, -80, -80, -79, -81, -81, -82, -80, -81, -81, -82, -80, -83, -83, -83, -80, -80, -81, -81, -81, -80, -80, -80, -80, -80, -81, -81, -81, -79, -81, -81, -81, -82, -82, -82, -80, -80, -79, -79, -79, -80, -80, -80, -76, -80, -80, -82, -82, -82, -81, -81, -79, -79, -79, -81, -81, -80, -80, -83, -79, -79, -79, -79, -79, -79, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, -79, -83, -83, -83, -83, -83, -81, -81, -80, -80, -82, -82, -80, -80, -80, -80, -80, -80, -80, -81, -81, 
00:23:eb:3a:13:60, 11, sMobileNet, -78, 0, -77, -79, -67, -67, -69, -74, -74, -74, -71, -67, -71, -80, -66, -75, -75, -75, -67, -71, -71, -80, -79, -79, -78, -70, -70, -77, -70, -76, -75, -74, -74, -70, -69, -68, -67, -69, -68, -71, -71, -71, -69, -74, -74, -75, -72, -78, -69, -70, -72, -73, -76, -76, -77, -67, -67, -67, -76, -80, -73, -76, -75, -71, -71, -78, -71, -72, -74, -70, -81, -70, -70, -77, -78, -78, -72, -70, -70, -78, -78, -70, -77, -76, -73, -73, -77, -76, -73, -73, -76, -81, -73, -70, -71, -77, -77, -77, -73, -72, -76, -75, -72, -76, -76, -70, -70, -74, -74, -76, -75, -77, -75, -74, -73, -75, -76, -77, -73, -73, -73, -76, -73, -74, -74, -74, -74, -73, -73, -77, -73, -74, -74, -78, -77, -76, -76, -72, -76, -76, -75, -73, -78, -71, -71, -73, -73, -76, -77, -73, -73, -69, -68, -68, -77, -67, -78, -76, -76, -76, -76, -76, -68, -76, -67, -76, -69, -68, -76, -76, -68, -68, -76, -76, -67, -69, -68, -68, -67, -69, -68, -77, -77, -75, -74, -68, -67, -66, -76, -76, -68, -67, -67, -67, -67, -68, -78, -78, -69, -67, -76, -76, -68, -78, -74, -76, -75, -76, -74, -74, -74, -71, -77, -77, -76, -68, -65, -65, -68, -67, -68, -69, -68, -67, -68, -68, -68, -68, -76, -75, -75, -69, -69, -69, -75, -74, -74, -69, -79, -68, -70, -70, -73, -75, -71, -75, -75, -76, -76, -76, -67, -67, -67, -76, -77, -75, -69, -69, -69, -75, -67, -67, -67, -67, -68, -68, -67, -68, -75, -68, -68, -75, -74, -75, -68, -73, -68, -73, -73, -73, -78, -74, -74, -76, -76, -67, -67, -73, -73, -73, -69, -68, -72, -68, -68, -73, -76, -67, -74, -68, 
00:25:84:23:16:10, 11, sMobileNet, -85, 0, -87, -87, -84, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, -84, -84, -84, -84, -84, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, -88, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, -85, -85, -85, -85, -85, -85, -83, -83, -83, -85, -85, -85, -85, -85, -85, -85, -85, -85, -88, -88, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -89, -89, -89, -84, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -87, -87, -87, -87, -85, -85, -85, -85, -85, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, 0, 0, 0, -81, -81, -81, -81, -81, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, -84, -84, -84, -84, -84, -84, -84, -85, -85, -83, -83, -83, -83, -83, -83, -83, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -85, -85, -85, -85, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, -87, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 
00:23:eb:2c:a1:6f, 64, sMobileNet, -81, -81, -82, -81, -82, -82, -81, -81, -82, -82, -82, -83, -82, -82, -81, -81, -82, -82, -82, -82, -82, -82, -82, -81, -82, -82, -82, -82, -82, -82, -83, -81, -83, -82, -82, -82, -83, -82, -82, -83, -82, -82, -82, -82, -82, -82, -82, -82, -81, -82, -82, -82, -82, -83, -82, -82, -83, -82, -82, -82, -83, -82, -82, -82, -81, -82, -82, -82, -82, -84, -81, -82, -82, -81, -82, -81, -81, -82, -81, -81, -81, -80, -81, -81, -81, -82, -81, -83, -81, -82, -80, -81, -82, -81, -82, -81, -81, -80, -81, -81, -82, -81, -82, -82, -82, -84, -81, -82, -82, -81, -81, -81, -81, -81, -81, -82, -81, -82, -82, -82, -81, -80, -81, -82, -82, -81, -82, -81, -83, -84, -84, -83, -81, -81, -82, -82, -82, -81, -81, -81, -81, -83, -83, -82, -82, -81, -81, -81, -81, -81, -82, -82, -82, -81, -82, -81, -81, -83, -81, -82, -82, -81, -82, -82, -82, -82, -82, -81, -81, -82, -83, -81, -81, -82, -82, -82, -82, -81, -82, -82, -81, -82, -82, -83, -82, -82, -82, -81, -82, -82, -82, -81, -82, -83, -82, -82, -82, -82, -82, -81, -82, -82, -81, -82, -82, -82, -81, -81, -82, -82, -81, -82, -82, -82, -82, -82, -81, -82, -83, -82, -83, -83, -82, -82, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, -81, -83, -81, -81, -82, -81, -81, -81, -81, -82, -82, -80, -82, -82, -82, -81, -81, -85, -82, -82, -82, -83, -82, -81, -82, -81, -81, -81, -80, -80, -81, -81, -81, -80, -81, -81, -81, -80, -80, -81, -80, -81, -81, -81, -81, -81, -82, -81, -80, -81, -81, -81, -81, -81, -81, -80, -80, -82, -80, -80, -80, -81, -81, -81, -80, 
00:25:84:22:fc:8e, 149, sMobileNet, -83, -82, -84, -83, -83, -83, -83, -83, -83, -83, -83, -83, -84, -83, -83, -83, -83, -83, -83, -83, -83, -82, -83, -83, -83, -84, -84, -83, -84, -83, -84, -83, -83, -84, -83, -82, -84, -84, -84, -83, -82, -84, -83, -84, -85, -82, -83, -83, -83, -83, -83, -83, -84, -83, -83, -84, -83, -83, -84, -84, -84, -84, -84, -84, -83, -83, -83, -84, -84, -84, -83, -83, -85, -85, -85, -84, -84, -84, -84, -83, -85, -83, -84, -84, -84, -85, -84, -84, -83, -83, -83, -83, -85, -85, -84, -83, -81, -83, -83, -82, -83, -84, -84, -84, -85, -84, -84, -85, -84, -84, -85, -83, -85, -84, -85, -87, -85, -84, -86, -84, -85, -85, -86, -85, -86, -85, -84, -85, -84, -84, -84, -85, -84, -84, -84, -84, -85, -84, -84, -85, -83, -86, -85, -86, -83, -85, -84, -85, -84, -83, -85, -85, -85, -84, -85, -85, -86, -85, -85, -85, -84, -84, -85, -83, -85, -85, -85, -84, -85, -84, -85, -85, -85, -85, -84, -85, -85, -85, -84, -86, -85, -85, -85, -85, -85, -85, -85, -84, -86, -85, -85, -84, -85, -85, -85, -84, -85, -86, -84, -85, -85, -85, -84, -84, -84, -85, -84, -85, -84, -86, -84, -85, -84, -85, -85, -84, -85, -85, -84, -85, -84, -85, -85, -85, -84, -86, -85, -84, -85, -84, -86, -84, -85, -84, -84, -84, -85, -85, -84, -85, -84, -84, -84, -84, -85, -84, -85, -86, -83, -84, -85, -85, -83, -84, -86, -84, -84, -84, -84, -85, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, -85, -85, -85, -84, -85, -85, -85, -85, -86, -85, -84, -85, -85, -84, -86, -84, -84, -85, -85, -85, -85, -85, -84, -85, -85, -84, -84, -84, -84, -86, 
00:25:84:22:fc:8f, 149, Universitie, -83, -83, 0, 0, 0, 0, 0, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, 0, -84, -84, -84, -84, -84, -84, -84, -84, -84, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
00:23:eb:0b:e9:af, 161, sMobileNet, -84, -84, -86, -85, -85, -84, -84, -84, -84, -84, -84, -83, -84, -84, -84, -84, -84, -84, -83, -85, -83, -84, -84, -83, -85, -83, -85, -85, -83, -85, -85, -84, -84, -83, -84, -84, -85, -84, -84, -85, -83, -84, -84, -85, -85, -84, -84, -85, -84, -83, -84, -85, -85, -85, -84, -85, -85, -84, -85, -84, -84, -84, -83, -83, -84, -84, -82, -84, -86, -83, -83, -83, -85, -83, -84, -84, -85, -85, -84, -82, -82, -82, -81, -81, -83, -82, -82, -83, -83, -83, -83, -82, -82, -83, -83, -82, -83, -83, -82, -82, -82, -84, -83, -84, -83, -84, -82, -83, -83, -82, -83, -84, -85, -84, -85, -83, -85, -84, -84, -83, -83, -81, -82, -82, -84, -83, -83, -84, -83, -85, -84, -84, -84, -85, -85, -86, -84, -85, -83, -85, -85, -85, -83, -83, -81, -82, -82, -83, -82, -82, -82, -81, -82, -83, -82, -84, -82, -83, -83, -83, -83, -82, -82, -83, -81, -82, -81, -82, -81, -82, -82, -82, -83, -82, -82, -82, -82, -83, -82, -83, -83, -83, -84, -82, -84, -83, -82, -82, -84, -83, -82, -83, -83, -83, -82, -82, -84, -85, -83, -83, -83, -83, -84, -83, -83, -83, -84, -83, -83, -84, -83, -83, -83, -83, -83, -82, -83, -82, -83, -83, -83, -82, -83, -83, -83, -83, -84, -83, -84, -84, -83, -85, -85, -84, -83, -86, -85, -86, -85, -85, -83, -83, -82, -84, -83, -83, -81, -83, -83, -83, -84, -86, -82, -83, -84, -85, -82, -83, -83, -82, -83, -81, -82, -82, -82, -82, -82, -83, -82, -83, -83, -84, -82, -83, -83, -83, -81, -83, -83, -83, -83, -84, -84, -83, -84, -83, -83, -83, -82, -83, -83, -84, -84, -84, -84, -84, -84, -84, -83, -82, 
00:25:84:22:fc:81, 11, sMobileNet, -80, -81, -81, -84, -84, -81, -81, -81, -81, -81, -84, -84, -84, -82, -82, -82, -82, -82, -81, -81, -82, -82, -82, -82, -82, -82, -82, -82, -82, -83, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -79, -79, -79, -79, -79, -79, -79, -79, -79, -82, -82, -81, -81, -81, -80, -80, -80, -80, -81, -81, -82, -82, -82, -82, -82, -82, -82, -82, -82, -81, -81, -80, -80, -80, -80, -80, -82, -82, -82, -82, -80, -82, -81, -80, -80, -80, -80, -80, -80, -80, -80, -79, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, -80, 0, -80, -80, -80, -80, -80, -80, -81, -80, -81, -83, -81, -79, -79, -79, -80, -80, -80, -80, -82, -82, -82, -82, -82, -82, -82, -82, -82, 0, 0, 0, 0, 0, 0, -80, -80, -82, -82, -80, -84, -80, -82, -82, -82, -82, -81, -81, -81, -81, -81, -80, -80, -80, -80, -80, -80, -80, -80, -80, -79, -79, -80, -81, -80, -80, -80, -81, -81, -81, -81, -80, -80, -82, -82, -82, -82, -81, -81, -81, -81, -81, -81, -81, -82, -82, -82, -82, -81, -81, -81, -81, -81, -83, -82, -79, -82, -83, -81, -81, -82, -81, -82, -82, -83, -83, -83, -83, -82, -81, -80, -80, -82, -80, -80, -80, -83, -83, -82, -82, -79, -79, -83, -83, -83, -83, -82, -82, -81, -80, -82, -83, -82, -82, -82, -82, -83, -83, -78, -78, -81, -81, -81, -78, -78, -78, -78, -78, -81, -81, -83, -83, -82, -82, -79, -79, -79, -81, -81, -81, -81, -81, -81, -81, -81, -81, -80, -80, -79, -79, -79, -79, -79, -81, -81, -81, -81, -81, -81, -79, -79, -79, -80, -80, -82, -82, -80, -80, -80, 
00:25:84:23:18:70, 6, sMobileNet, -84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -85, -86, -86, -86, -86, -86, -86, -86, -86, -86, 0, 0, 0, 0, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, -87, -87, -87, -88, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, 0, 0, 0, -86, -86, -86, -86, -86, -86, -86, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, -83, -83, -88, -88, -88, -88, -88, -88, -88, -88, -88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, 0, 0, 0, -85, -85, -85, -85, -85, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, -88, -88, -88, -87, -87, -87, -87, -87, -87, -87, -87, -87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -89, -89, -89, -89, -89, -85, -85, -85, -85, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -85, -85, -85, -85, -85, -85, -85, -85, -85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -83, -83, -83, -83, -83, -83, -83, -83, -83, 0, 0, 0, 0, -85, -85, -85, -85, -85, -86, -86, 
